,310,311,312,313
SIE-Scwrlmut,0.075043998239842,0.1926823511773404,0.22558091786164816,0.17871747953533576
SIE-Rosmut,0.10709979645362357,0.04273355292475014,0.02829591393914046,0.07043053086106883
SIE-Rosiface-sc,0.06393017926571282,0.03192634291291731,0.019834320703766777,0.02319980898500172
SIE-RosCDR-loop,0.03900140646990435,0.04298185904614855,0.04362989407079716,0.05527011910056096
Rosmut,0.1935707868643423,0.14900830557500816,0.1861031101617008,0.14272433393247724
Rosiface-sc,0.05905040982032154,0.06849978885845197,0.04776764992198071,0.08059951281256339
RosCDR-loop,0.03688662735064687,0.04561242469528312,0.02925721446242612,0.037128622780373016
FoldXB,0.09120793911602826,0.038760130409042325,0.05638902344805714,0.049145844172366934
FoldXS,0.06428833868937894,0.039338069935165317,0.036508602670475926,0.031598326651996266
DS_BIND,0.08799265153540323,0.18755071940062054,0.11591985399112442,0.13259134487394145
DS_STABLE,0.0859661123767969,0.035636304767044664,0.03019726755624208,0.06844107209943141
mCSM,0.09596175381799929,0.12527015029822744,0.1805162312126402,0.13015300419488302
