,980,981,982,983
SIE-Scwrlmut,0.0799618164502001,0.13309169183511965,0.22498537672744354,0.1564603721751955
SIE-Rosmut,0.054498918786324575,0.0179485743135732,0.037155667216252256,0.0881951095246836
SIE-Rosiface-sc,0.03272297850567616,0.013087732001159183,0.023502163035783896,0.023834128885094303
SIE-RosCDR-loop,0.03920666903970283,0.08943030394544774,0.11418340620361357,0.044400559577797205
Rosmut,0.14483037518497427,0.2677322380376495,0.15013680862855658,0.15722683825163242
Rosiface-sc,0.04706221777472627,0.06020929421035938,0.04416651539880444,0.06982698031679253
RosCDR-loop,0.0404853174317489,0.03714892940292727,0.033795036743526845,0.04594361436603536
FoldXB,0.05884323391017797,0.05499957070223378,0.045297968329637034,0.06604140819258812
FoldXS,0.039137726161795276,0.02287143324291489,0.03694772208876932,0.04612371152704722
DS_BIND,0.24410014125192983,0.14260744058788288,0.07107688425550152,0.15215648405887366
DS_STABLE,0.06339534077699498,0.06081295721951996,0.06057360747766663,0.05054811298886303
mCSM,0.15575526472574888,0.10005983450121265,0.15817884389444453,0.09924268013539711
