,830,831,832,833
SIE-Scwrlmut,0.21661901239484685,0.1474959181847451,0.14198195401808592,0.07522611108926994
SIE-Rosmut,0.0677731670530541,0.05833036289540904,0.025711117560191225,0.13710986407227616
SIE-Rosiface-sc,0.029646168854274558,0.021098978057749754,0.017856467483205334,0.11421170349191304
SIE-RosCDR-loop,0.04359060257900039,0.03203149170426177,0.047466452896793736,0.09357958113848688
Rosmut,0.12889186773493178,0.3410868789137355,0.059545523560648135,0.23647511591138243
Rosiface-sc,0.0748569655712633,0.05616967702729929,0.04910548052980126,0.052327072856343505
RosCDR-loop,0.04505245301390393,0.049070051184561786,0.022888326452064837,0.03326792109722586
FoldXS,0.06361077509080212,0.0625161322695907,0.04877427308165995,0.03193118227774508
FoldXB,0.040764848263173226,0.03981973082184992,0.04419673342344396,0.024515197151153426
DS-B,0.09632966275044001,0.058565584458564995,0.24619881404291571,0.06655348288471637
DS-S,0.048325417497535494,0.06095753476062237,0.050375810365480264,0.046267005226728004
mCSM-AB,0.14453905919677423,0.07285765972160986,0.24589904658570977,0.08853576280275936
