,400,401,402,403
SIE-Scwrlmut,0.11082041955529837,0.1802274476515205,0.16154952372298828,0.14619174143635394
SIE-Rosmut,0.04807837533725113,0.03542292130183388,0.14788698337700215,0.036185666680771354
SIE-Rosiface-sc,0.024668775837410648,0.042223427146096316,0.050850550001209055,0.02990875974691399
SIE-RosCDR-loop,0.0439792695060293,0.05010566074142971,0.07636888749679716,0.030506931414049532
Rosmut,0.2655916696751044,0.2261253200176482,0.10986382652807178,0.20798556919301037
Rosiface-sc,0.05375387115517212,0.04581429050466935,0.04444850306054785,0.0895689236022595
RosCDR-loop,0.03582038635270511,0.0210377777614567,0.04010862130513128,0.05285952236554431
FoldXS,0.08229005448300347,0.057754181708046276,0.05689643692332866,0.05395508182015044
FoldXB,0.03971962664448588,0.03538158536523552,0.0416923034576913,0.060027088036570295
DS-B,0.15524963614888918,0.11712832872127087,0.11240624094922887,0.07870594593450746
DS-S,0.03939381481244317,0.07694352380025635,0.060606412090044096,0.05472415204874007
mCSM-AB,0.1006341004922073,0.11183553528053626,0.09732171108795964,0.15938061772112883
