,520,521,522,523
SIE-Scwrlmut,0.023245963481873615,0.151844430241922,0.21924111789150863,0.14544431328548002
SIE-Rosmut,0.025938441210199257,0.061698249982085285,0.1357087612197894,0.03981112940229818
SIE-Rosiface-sc,0.030136255995340578,0.02809986319278918,0.030938456321511956,0.03712095809648906
SIE-RosCDR-loop,0.055522282962863156,0.0345905979626634,0.043128847830433054,0.03155248123607215
Rosmut,0.3291922783638174,0.2638925131736287,0.10465912076118979,0.15335991754482622
Rosiface-sc,0.045614523377857374,0.06003344632000543,0.08536912304410918,0.0497654881779169
RosCDR-loop,0.029398440004304624,0.039698629294166496,0.03583308279979851,0.03684565951084319
FoldXB,0.07450286873528138,0.061663818258483175,0.059811020461083865,0.049516209490570645
FoldXS,0.049758111085116276,0.029427163304577713,0.02952884671909329,0.044513423626240764
DS_BIND,0.10016008216443104,0.13715427510543154,0.10265151625650655,0.144581837913555
DS_STABLE,0.06064846805688845,0.04285862614599921,0.049399345793994555,0.12410197142723262
mCSM,0.17588228456202673,0.08903838701824784,0.10373076090098136,0.1433866102884751
