,690,691,692,693
SIE-Scwrlmut,0.19012606017434763,0.11914865431721582,0.11339075345634912,0.34224165239360127
SIE-Rosmut,0.09866640566898714,0.058045760814702696,0.03668495413959043,0.014386621584038245
SIE-Rosiface-sc,0.01933794768248127,0.04582473027807521,0.01835810312547632,0.012830568118021616
SIE-RosCDR-loop,0.07640270247144686,0.09441469946800045,0.028960915370150348,0.043893733843195205
Rosmut,0.19398070485400365,0.13214114865207505,0.3064876181656481,0.12409874779937453
Rosiface-sc,0.052723276922179235,0.06000917978954414,0.04962236962966418,0.048697477460381035
RosCDR-loop,0.023572884694049098,0.025937139626184637,0.039168699009842,0.03611794873427511
FoldXS,0.05234318806253668,0.03911085136141515,0.08362532042739766,0.05851775252603568
FoldXB,0.03102571918236879,0.039250203108286794,0.03906257176544887,0.03574865884193927
DS-B,0.07811613106459615,0.24408799252058078,0.09443785704688488,0.05561361310816513
DS-S,0.04325422598196173,0.05456498969955427,0.06355974338721826,0.07370926742486014
mCSM-AB,0.14045075324104192,0.08746465036436496,0.12664109447632985,0.1541439581661128
