,870,871,872,873
SIE-Scwrlmut,0.1348214175382755,0.2185680918449675,0.1736892425026771,0.10314113534433197
SIE-Rosmut,0.04467088399243742,0.08344376900725868,0.03671388535544341,0.08700053127840558
SIE-Rosiface-sc,0.027330313759457065,0.04742879750112964,0.016742810350290332,0.0524620273696712
SIE-RosCDR-loop,0.03175928906779911,0.040813075711885576,0.061659708446800826,0.0585602446118096
Rosmut,0.25872103852231076,0.10371519394729616,0.16708715582913505,0.19054020463099414
Rosiface-sc,0.04836688032480291,0.06862221423197055,0.052184256057570266,0.08011634368766274
RosCDR-loop,0.0267352147090284,0.05125237984669332,0.027212884445508484,0.04701248885594977
FoldXB,0.06838061142711535,0.06660107107298356,0.030606208538333252,0.09453365749491448
FoldXS,0.05006820611260427,0.05464176886049911,0.028055494211533194,0.052410165305592844
DS_BIND,0.11151840115957244,0.10181643464857347,0.16472995685991765,0.10199154164440402
DS_STABLE,0.06640512379319835,0.055313092038850126,0.03770501713495628,0.03996738033135733
mCSM,0.13122261959339832,0.1077841112878923,0.20361338026783424,0.09226427944490646
