,420,421,422,423
SIE-Scwrlmut,0.2862192242776,0.09883083294602467,0.2425739729270186,0.05279244666027748
SIE-Rosmut,0.050510389804046714,0.03243142776061499,0.03639663781622199,0.06501317644156454
SIE-Rosiface-sc,0.022318028578949912,0.041587143613575954,0.032685767352751464,0.03361030508315453
SIE-RosCDR-loop,0.034968858757045924,0.03536943563069104,0.06282082414581298,0.038136938640873926
Rosmut,0.08092973964250305,0.2642080926434343,0.22138694948168985,0.25411500315565
Rosiface-sc,0.06933899617386757,0.05652613251667041,0.04754609177874116,0.0506994609486274
RosCDR-loop,0.027672818748359296,0.02937034073564854,0.029187401513817775,0.04996053778858815
FoldXB,0.09487291730773427,0.04535628715080999,0.0411439326946369,0.06357421263161095
FoldXS,0.054532779095015006,0.03852722951919792,0.029269926033413756,0.03743007766790973
DS_BIND,0.09079998432201432,0.17058383237601912,0.09615288999008985,0.1403634782930613
DS_STABLE,0.04030221500310112,0.03656857703811068,0.058718642748238375,0.09590196399980369
mCSM,0.14753404828976285,0.15064066806920243,0.10211696351756738,0.11840239868887825
