,770,771,772,773
SIE-Scwrlmut,0.1701717553997239,0.16727890847008792,0.054785081214941564,0.1911535823021372
SIE-Rosmut,0.09677421652939534,0.0978578955341699,0.09084194503446665,0.017051653399655257
SIE-Rosiface-sc,0.02925395764083603,0.032810490304326825,0.03557242290557275,0.023949856607154044
SIE-RosCDR-loop,0.033932328861181874,0.08831526072185499,0.04944459618244069,0.026925651335707207
Rosmut,0.15343961197969883,0.18758305785565138,0.2307223737096264,0.21746896695217827
Rosiface-sc,0.07037241526898955,0.05589863610927753,0.056710521247258054,0.04901422063682309
RosCDR-loop,0.044153753054563157,0.0378151931117387,0.03881673375532649,0.02223166517237727
FoldXB,0.0641680070472736,0.04987400372714611,0.09348509821703646,0.038800411077717104
FoldXS,0.04111533861396576,0.033679818406277526,0.05454800261046018,0.0587499092743451
DS_BIND,0.126292085241428,0.10247929892272493,0.10791980755678862,0.1490207916656863
DS_STABLE,0.041319824321793396,0.059595175116072895,0.07616111085606743,0.05710177332687745
mCSM,0.1290067060411506,0.08681226172067129,0.11099230671001462,0.1485315182493417
