,720,721,722,723
SIE-Scwrlmut,0.2858547693904958,0.09225783349864246,0.053993321614747174,0.24869191585770284
SIE-Rosmut,0.013096840586753762,0.03231431121098728,0.17352339987017537,0.07526368347980594
SIE-Rosiface-sc,0.03848067108656824,0.03638466894475,0.03724437315136549,0.022101509681414104
SIE-RosCDR-loop,0.016109862335244494,0.03697297147284418,0.09301834140602709,0.035524181124676715
Rosmut,0.2185416805957432,0.13665775078400016,0.21911854039681222,0.1007490005042667
Rosiface-sc,0.04346736295788594,0.06431328421602109,0.061857103502105736,0.04590817741323393
RosCDR-loop,0.06755484441414293,0.03962881997873022,0.05400485635700845,0.021168748981628432
FoldXS,0.03852682139962826,0.053972770523630316,0.05859436685683002,0.035546824524964236
FoldXB,0.02070886372177446,0.04323461750321052,0.050320256846328244,0.03268244280934677
DS-B,0.03698770265033076,0.16913801198636066,0.08374944168715123,0.176657618124681
DS-S,0.03242744867492047,0.10010873904377779,0.061936194395278046,0.03365060319143774
mCSM-AB,0.18824313218651179,0.19501622083704528,0.05263980391617095,0.1720552943068417
