,500,501,502,503
SIE-Scwrlmut,0.08401851354896642,0.2319896906874191,0.10640424679706263,0.20524738006436138
SIE-Rosmut,0.05607821479831141,0.08177876297616002,0.075856518510465,0.06453498526000209
SIE-Rosiface-sc,0.02330208942006666,0.0567659972461836,0.036933966351960744,0.02316068920948246
SIE-RosCDR-loop,0.038604233704548234,0.029662860716643594,0.05522152153197217,0.07216843056212227
Rosmut,0.20959167040373713,0.12565843786034733,0.22720593654679588,0.12218463663068542
Rosiface-sc,0.05835083487457914,0.05190758574187132,0.054213122956085324,0.07268275882277808
RosCDR-loop,0.04039604491381319,0.04607378976750659,0.032668294542228825,0.029401338487645576
FoldXS,0.05848869970973346,0.074324014950777,0.038198027884163495,0.049685070079820315
FoldXB,0.04545397136344901,0.038349935307377826,0.029991052832225473,0.041732321230402436
DS-B,0.10600539390336719,0.14494337943870048,0.17728268082666662,0.08889216204252914
DS-S,0.04510530325102014,0.05001368141222737,0.025989838361693267,0.11434498583336195
mCSM-AB,0.23460503010840808,0.06853186389478577,0.14003479285868048,0.11596524177680892
