,760,761,762,763
SIE-Scwrlmut,0.1371295255527204,0.16863014982557012,0.2118568802842538,0.12203479115580729
SIE-Rosmut,0.08695856330194791,0.03847010158046365,0.050035107521054445,0.09347966033629011
SIE-Rosiface-sc,0.05371285558071643,0.025891212113464082,0.033265615451621974,0.03675799310100092
SIE-RosCDR-loop,0.02875819971875223,0.026896584789168662,0.04155205551892268,0.05355759750546903
Rosmut,0.17707720681063316,0.21493229381448542,0.0929483065690721,0.18301055693144608
Rosiface-sc,0.0600009208684412,0.05185186830145528,0.07346245793162476,0.0476377922801318
RosCDR-loop,0.035448522907927126,0.026743835213018673,0.04618875867216812,0.03790431861300189
FoldXB,0.048185766447785765,0.07576727087987947,0.051800566567687945,0.06807776624218163
FoldXS,0.04367741483034046,0.06872714291270864,0.030993709521695025,0.03389746456580044
DS_BIND,0.11539788818775838,0.1427977864672206,0.1860560512046192,0.11130061231887366
DS_STABLE,0.06632335649305036,0.06577092286004758,0.036814987903896396,0.05267615643023405
mCSM,0.14732977929992666,0.0935208312425179,0.14502550285338353,0.1596652905197632
