,170,171,172,173
SIE-Scwrlmut,0.2534736171099351,0.26890465073636377,0.055758602866411426,0.12706357166265797
SIE-Rosmut,0.047110688464902656,0.028019211433245445,0.1429378939103298,0.029343440764746997
SIE-Rosiface-sc,0.03687412953266134,0.023370408824177066,0.029331413190710552,0.024680181688150525
SIE-RosCDR-loop,0.033730890420245734,0.03552118715007435,0.031212336521494764,0.020979610977301184
Rosmut,0.1614591751875928,0.11889142806649573,0.22668428867241505,0.17511700597377605
Rosiface-sc,0.09147342123654402,0.04980062552378988,0.048426891362338645,0.05664819922748406
RosCDR-loop,0.04339537021166626,0.020221847133615505,0.042101554612577745,0.02537983371018873
FoldXB,0.06299971786108531,0.06829208080385438,0.04825168925940479,0.07748296201359164
FoldXS,0.03956136699456223,0.04351134835502806,0.03499855093498003,0.055763716752702364
DS_BIND,0.10144408857561271,0.13567578998501434,0.1017813215926822,0.20190883410403995
DS_STABLE,0.0697822986163439,0.048654041622265894,0.02862773363165594,0.02820674224769875
mCSM,0.05869523578884797,0.1591373803660757,0.2098877234449989,0.17742590087766183
