,110,111,112,113
SIE-Scwrlmut,0.20971280411567567,0.14067607939520016,0.1760468330680021,0.11235605777171423
SIE-Rosmut,0.03699215967153227,0.05025100893101182,0.04346320716420176,0.2695056842816789
SIE-Rosiface-sc,0.03397572835931758,0.03977627807911424,0.04281847701276157,0.029642585432834014
SIE-RosCDR-loop,0.03304499079408921,0.055759907354841605,0.05041317491647556,0.026863493734367062
Rosmut,0.13444411440709186,0.13595419025541378,0.1635438828661656,0.17095107574656268
Rosiface-sc,0.054410527186211165,0.06151573427057948,0.04654255364814569,0.06333896947833281
RosCDR-loop,0.03965495613928824,0.0562150900611463,0.02697791772246177,0.037203542884886365
FoldXB,0.08016634209997775,0.06789712276269232,0.03375608439755844,0.04451880706339545
FoldXS,0.05464354252318206,0.05360134949880116,0.039536671328625574,0.02196765122706825
DS_BIND,0.055902851069891006,0.20877964595634943,0.1418674714759004,0.0716136429842611
DS_STABLE,0.058658410386169535,0.038670327319805395,0.08252256949024293,0.05156450723056534
mCSM,0.20839357324757365,0.09090326611504444,0.1525111569094585,0.10047398216433379
