,560,561,562,563
SIE-Scwrlmut,0.2091818228211419,0.16743928939496305,0.18485849935066043,0.04392091303031965
SIE-Rosmut,0.08297012070221146,0.07417046580832906,0.04850176469527257,0.03055130488007224
SIE-Rosiface-sc,0.02998567818212831,0.03272049713973417,0.02392026329100152,0.050677053643826755
SIE-RosCDR-loop,0.02678281470631809,0.048415591164838075,0.0447942555993475,0.048351481227671675
Rosmut,0.1322649785587583,0.14711307021742887,0.1992457057795633,0.29235986628559835
Rosiface-sc,0.09681711189149905,0.06508101299859223,0.04998932950624202,0.06211907702330485
RosCDR-loop,0.041013596538650034,0.028389853046982345,0.03191607323383874,0.042206556198650415
FoldXB,0.05180536647351701,0.04999229449256006,0.07548247785919943,0.06543370883832424
FoldXS,0.04083849295332852,0.0386503114254985,0.03351281580284271,0.04619907303434094
DS_BIND,0.13976758867211908,0.17819559302954951,0.09022203328332815,0.10369511105930057
DS_STABLE,0.06223671446801974,0.045197462772496554,0.04160641948791061,0.07260135887849828
mCSM,0.08633571403230844,0.12463455850902759,0.1759503621107931,0.14188449590009194
