,730,731,732,733
SIE-Scwrlmut,0.07937295375340918,0.2428897511004856,0.13774067776634508,0.17924894498950925
SIE-Rosmut,0.045701221678220515,0.04934255463716753,0.08380645534345918,0.0467504009897931
SIE-Rosiface-sc,0.039352698201668576,0.03202758289063495,0.02834099374375624,0.03344312402402829
SIE-RosCDR-loop,0.041703985993385574,0.03272975620290497,0.03361895484306955,0.07389838857506054
Rosmut,0.3644342844777218,0.09405011856401331,0.15856295729681072,0.15304637038523497
Rosiface-sc,0.05455488887229001,0.05786321315458305,0.05583254084853989,0.06508277890974641
RosCDR-loop,0.027816129849446238,0.031714522188408915,0.035397257148462674,0.045125334031607726
FoldXB,0.04448163267169343,0.06095255412802547,0.07492117584528583,0.06238659095334555
FoldXS,0.047756706556640285,0.03470655611004454,0.04176505062929315,0.036083039683468515
DS_BIND,0.06572944957620257,0.1723834589106901,0.13089629026622585,0.11882170274109428
DS_STABLE,0.052485392651006296,0.05409982990260864,0.0659660969390305,0.05149962109417796
mCSM,0.13661065571831546,0.13724010221043295,0.1531515493297214,0.1346137036229333
