,620,621,622,623
SIE-Scwrlmut,0.19007644281974345,0.11486737959586031,0.15465001603883816,0.24289448354685536
SIE-Rosmut,0.10373048151672665,0.06171055786946655,0.07372049973089471,0.0349927634448964
SIE-Rosiface-sc,0.062165669568952094,0.039325024905428115,0.03490862963379961,0.019125554433236575
SIE-RosCDR-loop,0.06581692154572602,0.10388329815824926,0.03906685196804826,0.02528518513811992
Rosmut,0.03420357596977821,0.2523035339693619,0.1693072813981672,0.1458321795739859
Rosiface-sc,0.07401391372520713,0.04882360041950053,0.06502684619542126,0.05412767992837021
RosCDR-loop,0.03633943822429517,0.03369372612146381,0.04930452947234463,0.019617025649817193
FoldXS,0.06743411081726951,0.058545055447573914,0.05428680553971231,0.048790667975790195
FoldXB,0.0659880429263004,0.03501717158521284,0.0249458774381548,0.0561021212714979
DS-B,0.13849798062095822,0.04937329372588534,0.11219581132239521,0.16343198934276587
DS-S,0.02973549181896023,0.0752350092168717,0.07179841047611708,0.02869171824753101
mCSM-AB,0.13199793044608274,0.12722234898512602,0.15078844078610676,0.16110863144713353
