,330,331,332,333
SIE-Scwrlmut,0.1386550541249147,0.12824200690425588,0.196208122003092,0.12373470119589954
SIE-Rosmut,0.07803941816055221,0.13391176387516804,0.031067966503920883,0.046768743571930345
SIE-Rosiface-sc,0.03252334450741895,0.03636881924493352,0.04535469336887778,0.03364188647692079
SIE-RosCDR-loop,0.0566577654037377,0.043298594461017324,0.033640496084577774,0.039268485281641154
Rosmut,0.15519966491857992,0.181105867497141,0.1277740507940082,0.20691997780060664
Rosiface-sc,0.0674580895104103,0.054146506921183016,0.04202520335491466,0.06592990760691797
RosCDR-loop,0.0508527314754278,0.03011236365744385,0.03965620834092056,0.028953707792840108
FoldXB,0.047631509740472956,0.0723116466674902,0.049609709063463764,0.06765516769941642
FoldXS,0.03360794282810082,0.0467989154278078,0.10521169668291526,0.03426976689331451
DS_BIND,0.1238698037316212,0.10023101894270275,0.1159559214100358,0.1977280503397806
DS_STABLE,0.11227088078367559,0.044975195361007185,0.0641368260440956,0.04745270273963897
mCSM,0.10323379481508801,0.12849730103984958,0.14935910634917793,0.10767690260109296
