,140,141,142,143
SIE-Scwrlmut,0.29238927009356225,0.051277658821679464,0.14133385673269913,0.1527166293388998
SIE-Rosmut,0.058809506924703256,0.03991685475165122,0.07056388403527175,0.07500804927044039
SIE-Rosiface-sc,0.046242599652020926,0.030336688603623034,0.027358992489256707,0.037868172710902
SIE-RosCDR-loop,0.04785449370222233,0.12648354465936437,0.03539714299494988,0.02526496181407492
Rosmut,0.05518324030186494,0.25999308265177784,0.20207899429495235,0.21341222628555
Rosiface-sc,0.055602349962871736,0.05292930114009066,0.062139586697773364,0.06268045992800499
RosCDR-loop,0.04113893713859898,0.038748665860597435,0.03108548225261915,0.03501077591899336
FoldXB,0.0719987690592389,0.05192486133473691,0.062083530718672474,0.03887516744682708
FoldXS,0.05066355734083787,0.030591504095454188,0.03562479333925399,0.037507675615994066
DS_BIND,0.11286867649314597,0.09167556492627571,0.12111564346996274,0.145772776434189
DS_STABLE,0.05500979904744936,0.0680694581278362,0.04812233242249945,0.0353721359982774
mCSM,0.11223880028348361,0.1580528150269128,0.16309576055208896,0.140510969237847
