,950,951,952,953
SIE-Scwrlmut,0.13307060509848026,0.07974486562758007,0.24081037269186356,0.15935089320340265
SIE-Rosmut,0.03374746822906555,0.16659634020340805,0.018625845369848026,0.034149791804334896
SIE-Rosiface-sc,0.026937289911027833,0.0490469391448865,0.09288980883029897,0.02157838541749864
SIE-RosCDR-loop,0.030856823103278547,0.05434654194764412,0.08192670899648456,0.05496384299706683
Rosmut,0.251144432093051,0.18314712201803948,0.01361625080473184,0.22311849695530567
Rosiface-sc,0.06584769151566988,0.04121681049893338,0.07350768944456317,0.05261130784605038
RosCDR-loop,0.042763006546431254,0.04722158063199858,0.029517740400322946,0.018029241512128962
FoldXB,0.07200368068358656,0.054862560440615715,0.044865624668202674,0.050502106315676205
FoldXS,0.04258821262742197,0.03801039660089557,0.05918970745512642,0.05843764589541907
DS_BIND,0.10050592286307436,0.1690413890409801,0.13459577308866585,0.125426490959327
DS_STABLE,0.033258170760613555,0.05633944080669627,0.03838933790548821,0.04588596106803135
mCSM,0.16727669656829935,0.06042601303832211,0.17206514034440396,0.15594583602575843
