,740,741,742,743
SIE-Scwrlmut,0.20982996189757197,0.0801778332700196,0.07924822740053661,0.26329749148328657
SIE-Rosmut,0.07565101183801975,0.06369501349471451,0.07268353014791483,0.032368095140498036
SIE-Rosiface-sc,0.025083569791571714,0.026204609304981186,0.03337310401237254,0.021409381332219493
SIE-RosCDR-loop,0.055340311703889374,0.029716200708628147,0.05832155974364464,0.032262145207810115
Rosmut,0.21159601877266013,0.07234692500895,0.28039406761069985,0.15756673826728745
Rosiface-sc,0.0532650500743097,0.05275919184838597,0.04373916542451457,0.08104194578216874
RosCDR-loop,0.04135338029820999,0.03955647803454578,0.053976969562296216,0.030885487049666323
FoldXS,0.06751780582101374,0.06009913920093927,0.05030217970257286,0.031232881848326746
FoldXB,0.03356816845964539,0.03475222592707169,0.05236670204607679,0.02866042157398346
DS-B,0.07614520405872445,0.35100642733046433,0.06713333411837116,0.09873465408617615
DS-S,0.03323006844434008,0.05594194533483225,0.07301192378764126,0.08499645986194987
mCSM-AB,0.11741944884004381,0.13374401053646745,0.13544923644335874,0.13754429836662713
