,320,321,322,323
SIE-Scwrlmut,0.1574822395828054,0.19249084242052297,0.1732834701682729,0.07839524943215766
SIE-Rosmut,0.03764731913676792,0.10333764977441517,0.0656880283880796,0.07852640328924441
SIE-Rosiface-sc,0.026539663827551643,0.023446277619232177,0.0438347060734461,0.030779810658085487
SIE-RosCDR-loop,0.07047627206327184,0.039474434958666975,0.039957324207510886,0.05424590357986799
Rosmut,0.24289499319168656,0.08973528276113997,0.19291105956884075,0.18620529976338246
Rosiface-sc,0.037062514093849974,0.08091450253879325,0.06044406878236592,0.04549584910566236
RosCDR-loop,0.029793737853843226,0.0312516969348283,0.05146416296211513,0.04232169067168851
FoldXS,0.03193033782622333,0.07187214960819972,0.05222903026544548,0.06711261594967306
FoldXB,0.04418388472749668,0.02959305234141681,0.04051951570483991,0.04103569905217183
DS-B,0.14283081245825946,0.13406297817695856,0.07959916734456696,0.2427897035718842
DS-S,0.03507345580451889,0.0557741038800547,0.06247469441642489,0.04630763028273963
mCSM-AB,0.14408476943372517,0.1480470289857713,0.13759477211809143,0.08678414464344239
