,490,491,492,493
SIE-Scwrlmut,0.04638240988956638,0.15384202796175273,0.15415591156833136,0.24086327630606127
SIE-Rosmut,0.03250925923290022,0.04180305787005181,0.05666538606774378,0.14174375960014135
SIE-Rosiface-sc,0.02206290674075678,0.06731857668368264,0.027550646506093613,0.026723676805446364
SIE-RosCDR-loop,0.04525534619750772,0.041969087002834936,0.04746940320296544,0.04540217643094972
Rosmut,0.33571142477873633,0.21502440910182197,0.18304801442757135,0.0711832208470337
Rosiface-sc,0.06748467281992798,0.07080136819897787,0.05023601967934739,0.05847646490730782
RosCDR-loop,0.044117734660539,0.019741717203209733,0.051634738400326896,0.04202514857571501
FoldXS,0.06989263902803784,0.042321813169257566,0.055751057833839476,0.06248379725326517
FoldXB,0.049074030870836075,0.03917892316735805,0.03596626745092093,0.029250403326079612
DS-B,0.04633472950082487,0.150474897682125,0.14404022687576606,0.12015607990373446
DS-S,0.03796720606424561,0.06911507061654087,0.0621998530089291,0.05535107525468768
mCSM-AB,0.2032076402161212,0.08840905134238689,0.1312824749781646,0.10634092078957785
