,480,481,482,483
SIE-Scwrlmut,0.1153846800707974,0.2508460784322862,0.0622441634181474,0.1863025141733134
SIE-Rosmut,0.02364842604472475,0.08637371086299707,0.09076339373989736,0.06254548945730487
SIE-Rosiface-sc,0.02373253923620237,0.042016726192605804,0.02508860912268687,0.031703520417040096
SIE-RosCDR-loop,0.0282664456211031,0.06140013327655127,0.03559515814868315,0.028858765026744733
Rosmut,0.22263128828906406,0.09650308636441297,0.3383748819660685,0.12914587557018437
Rosiface-sc,0.041011403442959504,0.05626441812319334,0.0685281491868237,0.08335306228399236
RosCDR-loop,0.033425566255292985,0.03987275342011001,0.02977925744967709,0.043292397690171465
FoldXB,0.08840519218719649,0.050341924020718555,0.05610407756621425,0.041059629004821296
FoldXS,0.03961608428478186,0.033774757391255336,0.0502498433888693,0.029633358469585754
DS_BIND,0.20952929416302393,0.10672002915108125,0.07611558635397803,0.1463072205165757
DS_STABLE,0.05876170340655835,0.05799786642545639,0.04991406812404496,0.049638743804902935
mCSM,0.11558737699829533,0.11788851633933173,0.11724281153490934,0.16815942358536307
