,280,281,282,283
SIE-Scwrlmut,0.06550762649134875,0.18128925127257084,0.2028970076193365,0.10135410935563187
SIE-Rosmut,0.06955484423528073,0.10928819505745176,0.05646758839185995,0.08041400893411704
SIE-Rosiface-sc,0.03901965095626901,0.03611828645125297,0.02558050099870919,0.0236727094323196
SIE-RosCDR-loop,0.05131738768039079,0.05004504564657375,0.02321578166135139,0.03570842954277274
Rosmut,0.3042811946582732,0.13552985582972657,0.18132716504460367,0.12591910352168184
Rosiface-sc,0.051067519314961854,0.057432157292006694,0.06694073149791084,0.0484999468666609
RosCDR-loop,0.0490457897058354,0.02709846970136545,0.04018246902752302,0.0577404211810794
FoldXS,0.056640797197680254,0.05530696688300087,0.06266705974081921,0.039961516201065514
FoldXB,0.04473491308384387,0.032921400920376535,0.03889011046304949,0.07676647243228711
DS-B,0.08727601935795198,0.1229825528338135,0.15729014226462837,0.1244513056074402
DS-S,0.05846207349894972,0.05285059653964075,0.06408306633588129,0.08035184670051666
mCSM-AB,0.12309218381921441,0.13913722157222044,0.08045837695432718,0.2051601302244271
