,790,791,792,793
SIE-Scwrlmut,0.2002288007130457,0.06438061797694095,0.17405753390040002,0.13986816598586874
SIE-Rosmut,0.04108393998098951,0.07823696600898225,0.09068363573745113,0.035527430648961224
SIE-Rosiface-sc,0.04693464207042406,0.02844835357022629,0.03874050430517955,0.023435638764312077
SIE-RosCDR-loop,0.02416262090637182,0.04033876178307658,0.07030114737204311,0.028780468071166847
Rosmut,0.07967597061724459,0.25785210125148783,0.20527055464568844,0.23743216231328068
Rosiface-sc,0.06565443891056687,0.04546886777677094,0.05332163655572875,0.06941266670244614
RosCDR-loop,0.02241712100763484,0.04861242758359727,0.03606069505474179,0.05666673901943647
FoldXB,0.054936895738009354,0.06512624771794319,0.05420387223440389,0.0576473596165562
FoldXS,0.04017150393343335,0.046251537201204417,0.026470855694495737,0.031991560903351264
DS_BIND,0.27159123326446044,0.05297921818201419,0.09395094383553564,0.11875684530746526
DS_STABLE,0.05768307991890318,0.062445790491421724,0.07375501505509938,0.04558116800617867
mCSM,0.09545975293891631,0.20985911045633435,0.08318360560923255,0.1548997946609765
