,240,241,242,243
SIE-Scwrlmut,0.24851347817831673,0.16921291325076931,0.077350900802567,0.15913761896708029
SIE-Rosmut,0.027283335218849136,0.08839574733868724,0.140499939573036,0.07383228513733776
SIE-Rosiface-sc,0.021894936399723335,0.036348403361322515,0.072257460246978,0.03137134109611547
SIE-RosCDR-loop,0.035975275251052534,0.0494486553722708,0.04808194502887694,0.023600116557708425
Rosmut,0.17603413774046986,0.16200666598300975,0.19721574506901193,0.10495106934789487
Rosiface-sc,0.06917681896145952,0.06807666556246907,0.042487959062171156,0.06608056888886432
RosCDR-loop,0.03742514356004291,0.04653023931894309,0.03895819367669534,0.031055427761661515
FoldXB,0.052300489453110645,0.05660490857411955,0.03841333479882353,0.07140169152935728
FoldXS,0.04040620402258947,0.03241596348476214,0.040035360744524566,0.0474741192031852
DS_BIND,0.10726397753762695,0.15525735300001817,0.10870295107802537,0.14637243090685556
DS_STABLE,0.09060332319088844,0.03590876832638645,0.05844915708692459,0.06180935797226638
mCSM,0.09312288048587042,0.09979371642724194,0.13754705283236582,0.182913972631673
