,990,991,992,993
SIE-Scwrlmut,0.05116674557778567,0.14120960413602598,0.16307699768799253,0.21972464906005468
SIE-Rosmut,0.1546048594771542,0.02946159383107132,0.05632883899872709,0.0994321159487606
SIE-Rosiface-sc,0.02137782488358465,0.022978976340572214,0.036488147283953255,0.034379554146119436
SIE-RosCDR-loop,0.04598410102810914,0.03198513370661063,0.07856122662589686,0.03503667930051065
Rosmut,0.11498897968169344,0.2288912819360216,0.1917682346474167,0.15300485216116236
Rosiface-sc,0.05000247747809862,0.05090653992061141,0.06495870316827974,0.060691559303639044
RosCDR-loop,0.03883394542949307,0.035567071761608136,0.02874313768671598,0.04540572798093522
FoldXB,0.09423097363560165,0.055065906698233746,0.033856541077764785,0.042175533923458734
FoldXS,0.042495641897757876,0.032581419249263624,0.0343186114242532,0.055650182696676334
DS_BIND,0.18572090964295812,0.14757080398720474,0.1387257572814269,0.08421770811774756
DS_STABLE,0.0716019005567892,0.0884067455667997,0.0431077675167972,0.039091385955058684
mCSM,0.12899164071097427,0.13537492286597688,0.13006603660077562,0.13119005140587678
