,750,751,752,753
SIE-Scwrlmut,0.08017323673895675,0.2008079178645272,0.22539976305245063,0.084435125357287
SIE-Rosmut,0.08892913839149212,0.06037264099578454,0.04388757498000803,0.03515896398912927
SIE-Rosiface-sc,0.020305345864395304,0.03249036456420767,0.030040235564924536,0.033147543462201036
SIE-RosCDR-loop,0.052870701845833805,0.05692226142202044,0.03856356095369082,0.044611981069800154
Rosmut,0.24419238208453817,0.09867305964961393,0.10896464537575563,0.32835834117361623
Rosiface-sc,0.05549462253160106,0.05552563744531775,0.06237085110070786,0.05608645898530362
RosCDR-loop,0.0326178379578638,0.047712875425467566,0.023790471210567994,0.04682888078041472
FoldXB,0.04588001585095939,0.06031873850864347,0.058259646338668925,0.05813297044723333
FoldXS,0.028497789444546458,0.029579849112352546,0.049312081307630075,0.04075695791541418
DS_BIND,0.12633087153127748,0.10547999161041764,0.2200085422277263,0.09486287254692034
DS_STABLE,0.09002218059083393,0.06077009601877192,0.054463412222707154,0.043802954478680864
mCSM,0.13468587716770175,0.1913465673828754,0.08493921566516195,0.13381694979399933
