,940,941,942,943
SIE-Scwrlmut,0.20915126273050916,0.2392282703428505,0.01460763751569453,0.1447499109105984
SIE-Rosmut,0.03407355381249386,0.096425937242758,0.04431791597037552,0.04475241225316964
SIE-Rosiface-sc,0.03119649893665405,0.04154534027018638,0.02064955029458541,0.04231697705633316
SIE-RosCDR-loop,0.04287173753769771,0.02825350734407101,0.02724878592426366,0.07183542228516906
Rosmut,0.16996333484588563,0.09718423373579411,0.41557507733811366,0.06779156715358521
Rosiface-sc,0.07415450660945826,0.07906081194992848,0.04790182212259087,0.05160084201559342
RosCDR-loop,0.03358653454468399,0.03628950267525232,0.03339334851681387,0.029532593404328747
FoldXB,0.046462978315522374,0.06315842199543584,0.08392516901109266,0.08037421670659409
FoldXS,0.03289623549733055,0.030039919461793643,0.08906248123036713,0.054527318511670565
DS_BIND,0.11992824288071809,0.09694079420890461,0.06185000918900538,0.23625396854439612
DS_STABLE,0.05660464109655515,0.07628663555385948,0.040406794818907965,0.04677646971183574
mCSM,0.14911047319249124,0.11558662521916561,0.12106140806818931,0.12948830144672577
