,700,701,702,703
SIE-Scwrlmut,0.15680601628287733,0.06886835958687455,0.23009925497640019,0.1705064133279073
SIE-Rosmut,0.14185142641016538,0.05611411030120215,0.1457585724911428,0.01976812521511353
SIE-Rosiface-sc,0.0478246515235431,0.01684728134338917,0.029153619214984126,0.03138003701487109
SIE-RosCDR-loop,0.023434052408175,0.06568845213825647,0.03620893313712197,0.04684383090045057
Rosmut,0.19499971531178198,0.23754786525469687,0.11070797541819297,0.0682950545576459
Rosiface-sc,0.06116727350598629,0.05206095444412509,0.07920305863473588,0.07034232627985874
RosCDR-loop,0.03229218275433725,0.031735847497268356,0.04083366590283408,0.03874507342770579
FoldXB,0.056945046427338344,0.04673983076334062,0.05795407636905295,0.04644745406467135
FoldXS,0.03283266061526453,0.04451686789324648,0.028382040736675513,0.040295832128958396
DS_BIND,0.07756072771919237,0.09487115924469955,0.0822380570451172,0.26099351363387485
DS_STABLE,0.06930358830609512,0.06519624543364064,0.03480362262349408,0.052476743805324313
mCSM,0.10498265873524333,0.21981302609925998,0.12465712345024815,0.1539055956436182
