,510,511,512,513
SIE-Scwrlmut,0.09763521464354911,0.12253994275475125,0.3083392654621587,0.1218570265531037
SIE-Rosmut,0.11059330852418517,0.03832136276769895,0.05633786987904142,0.06192876422115668
SIE-Rosiface-sc,0.027436399288734075,0.03343918545024356,0.04160278006118794,0.021650746417100023
SIE-RosCDR-loop,0.03193203661897624,0.03560832543466199,0.0368389424943996,0.063161769242689
Rosmut,0.20889869548307055,0.18033147459581722,0.09762505296841213,0.22195231473738067
Rosiface-sc,0.054350273634686294,0.10636836131396862,0.05371072348081681,0.04084614380172732
RosCDR-loop,0.02668232241759263,0.0335953915165538,0.04689248035884598,0.04223551515906429
FoldXB,0.05283948906909494,0.07662671975477109,0.04828414092137673,0.04594855887922175
FoldXS,0.03826737163769194,0.04515598748119823,0.030318072380584562,0.032904126977946195
DS_BIND,0.14529456586623907,0.08624351656645642,0.06385157173945061,0.19604755470084148
DS_STABLE,0.06096177687683942,0.06544309932791988,0.05662683968030847,0.04938626067547691
mCSM,0.14510854593934033,0.1763266330359589,0.1595722605734171,0.1020812186342921
