,430,431,432,433
SIE-Scwrlmut,0.1341320402038122,0.17550508044513247,0.16832098694249656,0.08812264342201831
SIE-Rosmut,0.11614671002199772,0.03946120314291091,0.029867798941859706,0.07497670540626554
SIE-Rosiface-sc,0.05927905424558295,0.030682579241716624,0.029282151979698696,0.02189881089154503
SIE-RosCDR-loop,0.026945399330635642,0.03882052333808847,0.041420670707492516,0.12445624734599404
Rosmut,0.16845732600874688,0.07090662102734589,0.28123598741476447,0.18906564864486008
Rosiface-sc,0.06265420303640735,0.045698731251851886,0.060183630074071605,0.05284349849201517
RosCDR-loop,0.039704996978735634,0.02774110657803441,0.03357237429678009,0.032666425701622516
FoldXB,0.05154606656498903,0.09929843924198672,0.05287680010950418,0.045902285498087655
FoldXS,0.04553604752835641,0.031201081463546915,0.03326681235982013,0.05285125418250806
DS_BIND,0.08789674484286782,0.29042579217463843,0.07373040498426953,0.12646899226164993
DS_STABLE,0.0765404408706222,0.06570837292478063,0.06904117174679379,0.029001854067412413
mCSM,0.13116097036724625,0.08455046916996675,0.12720121044244873,0.1617456340860212
