,300,301,302,303
SIE-Scwrlmut,0.11386058801725768,0.06944578322681402,0.17351099655271074,0.30246202379316983
SIE-Rosmut,0.0719931067954086,0.0629390007754496,0.032523863882260196,0.046293647615757876
SIE-Rosiface-sc,0.022226400005127652,0.034105949264788625,0.038680112449769564,0.021978730472391492
SIE-RosCDR-loop,0.04521089145157277,0.026410939235194702,0.06001399112667822,0.03396309813641882
Rosmut,0.181429290468907,0.32663572033455424,0.23608238769303871,0.05528400339872096
Rosiface-sc,0.05317388324318471,0.06099866339453454,0.05065785415948996,0.06781001167696202
RosCDR-loop,0.03179059250822468,0.028972399756796132,0.04236689308424605,0.048900051520812525
FoldXS,0.04589388698590474,0.1049235097208263,0.04581363074015751,0.044571879345604776
FoldXB,0.03203457692696991,0.06861172325535031,0.03623732627968076,0.023809704197475686
DS-B,0.20794422741229618,0.09219863845371305,0.09241794192632206,0.11114674706946567
DS-S,0.04511500797984699,0.03692875043214359,0.08575552716222619,0.06263104012366463
mCSM-AB,0.14932754820529903,0.08782892214983502,0.10593947494342,0.18114906264955566
