,820,821,822,823
SIE-Scwrlmut,0.17039462632995894,0.2042606441609979,0.0492057886935298,0.24555012736866638
SIE-Rosmut,0.05253062152118727,0.07513490473177246,0.05136087156564498,0.08430214620626807
SIE-Rosiface-sc,0.019057357753854462,0.051463418030167,0.05091785050700604,0.024068729567003035
SIE-RosCDR-loop,0.0289721780379232,0.04177733606343268,0.06425978563108636,0.061055176224573474
Rosmut,0.23742820752065266,0.10947620479977438,0.17444411558573572,0.13396862820655697
Rosiface-sc,0.08152219244638721,0.07467438708512887,0.04737264724980621,0.05048030647094303
RosCDR-loop,0.02785789753509827,0.04010829503666688,0.05014518643795305,0.02271627694517995
FoldXS,0.038643780890678964,0.06636602352206514,0.0401359717970811,0.06778693997073572
FoldXB,0.030201199423808986,0.03465927844649368,0.08107728059623935,0.03138759045457403
DS-B,0.11568899651276142,0.1282563285915766,0.19077600204821024,0.08876798590218672
DS-S,0.04311583789389072,0.05099227935708757,0.04648624819914927,0.0621678887676188
mCSM-AB,0.15458710413379798,0.12283090017483696,0.1538182516885579,0.12774820391569383
