,700,701,702,703
SIE-Scwrlmut,0.14745271746058014,0.08958411939969829,0.22490840544961735,0.16865549502723298
SIE-Rosmut,0.17764537961681592,0.0826557559972201,0.1488490296928572,0.018942863273390044
SIE-Rosiface-sc,0.03298480331269509,0.01702506332361355,0.027618319654916967,0.03076277696063856
SIE-RosCDR-loop,0.028541299007791777,0.054731936521316686,0.037436865510529695,0.0462006596941402
Rosmut,0.18885168175256173,0.19884806637636693,0.11029267121017024,0.06973170390839208
Rosiface-sc,0.060448175437726716,0.04930204855215076,0.07565597274949154,0.07039766840518874
RosCDR-loop,0.0314224331141727,0.03615519682265582,0.04089619111667263,0.03847326513094864
FoldXS,0.05361447046779258,0.04322703515397145,0.053068756717625086,0.04685067207100296
FoldXB,0.03552577290880549,0.03743341424878726,0.029267556471572153,0.04212479529486666
DS-B,0.07523328177249997,0.10122481393890316,0.09102267080260133,0.26194737008305685
DS-S,0.06596348583908258,0.07101537551517306,0.03353239626906606,0.051972407875894154
mCSM-AB,0.10231649930947521,0.21879717415014288,0.12745116435487988,0.153940322275248
