,350,351,352,353
SIE-Scwrlmut,0.12240273006324207,0.13705881661984073,0.21785960268953125,0.11545869861866015
SIE-Rosmut,0.058672337779876696,0.06958870911008955,0.07802597106945725,0.031809014816917565
SIE-Rosiface-sc,0.028520107427722437,0.039377015905499434,0.019125424705828988,0.03041233257060266
SIE-RosCDR-loop,0.04431994860736439,0.044075680316880084,0.07177195617506213,0.03382005991974218
Rosmut,0.23531921651707616,0.1658163305688365,0.04101464079257706,0.3278364688742934
Rosiface-sc,0.041022642833401034,0.053225745770346174,0.07481499870282343,0.044846011872356546
RosCDR-loop,0.035244500625844694,0.03645262622044609,0.02290823192542726,0.03810133956895539
FoldXS,0.0840414328858967,0.04690236754271902,0.04813951142704805,0.07405525418783301
FoldXB,0.04992860309802493,0.06413984923829436,0.08147027639378471,0.033592936500586326
DS-B,0.17157822055450175,0.1994534170296545,0.1632341427338911,0.07197919883630682
DS-S,0.03968494366126482,0.030867799394457846,0.05512575801484724,0.06656482853048283
mCSM-AB,0.08926531594578437,0.11304164228293581,0.12650948536972156,0.13152385570326303
