,750,751,752,753
SIE-Scwrlmut,0.09393616466978696,0.2224882161092646,0.23141471819388593,0.01373483275994112
SIE-Rosmut,0.10853797005263278,0.06683593742460922,0.049622114213077995,0.025489162612834845
SIE-Rosiface-sc,0.019233168321430936,0.029495873780430917,0.028654212706958115,0.08087280256884412
SIE-RosCDR-loop,0.04857857118360169,0.04468191023920853,0.044864024191709616,0.03736918199316936
Rosmut,0.23504570595186672,0.13493543658751997,0.10984589757569813,0.3933530882751571
Rosiface-sc,0.05598620328173105,0.057886629338349684,0.05589856320757584,0.03085167043533329
RosCDR-loop,0.03269439797475064,0.04358227527156492,0.023530934648765527,0.045862133412275956
FoldXS,0.042846347029451386,0.05439915570571652,0.05767003840115126,0.06108394545871073
FoldXB,0.028592711635652707,0.025197318417456996,0.049790063459222586,0.042260501508652897
DS-B,0.11896952109508821,0.10114710584168123,0.2088383953000313,0.11274481133792218
DS-S,0.08424426115063742,0.060668217762650446,0.056757722763148756,0.045041737231475906
mCSM-AB,0.1313349776533695,0.158681923521547,0.08311331533877497,0.11133613240568269
