,480,481,482,483
SIE-Scwrlmut,0.1087768425600652,0.26916091246149204,0.06473999051771637,0.18101889064661456
SIE-Rosmut,0.02439946415138812,0.09846604884979746,0.09567977047974228,0.08260043349030935
SIE-Rosiface-sc,0.023028275229975477,0.03290597374200661,0.023771186979563045,0.03434798067870857
SIE-RosCDR-loop,0.030687584642469224,0.06617682983518232,0.03210199185634159,0.037471455926024064
Rosmut,0.21936382182648817,0.09223575216180649,0.3408230684087228,0.11981208271032327
Rosiface-sc,0.04058867479407504,0.051032860825488954,0.07721793960376955,0.07929868299772458
RosCDR-loop,0.032623287633586455,0.0421445980888902,0.03310308237224105,0.04373107827190948
FoldXS,0.07862083028162271,0.04453205395891362,0.050886200384897336,0.0390394705759785
FoldXB,0.03970093774511672,0.03289643141018967,0.045174933121998766,0.035092309931711814
DS-B,0.2197234308250697,0.10495824809479976,0.07896771542489267,0.12144405467087799
DS-S,0.057009136957076476,0.05063211647631281,0.044951024331657645,0.0447876449660378
mCSM-AB,0.1254777133530666,0.11485817409512021,0.11258309651845702,0.18135591513378008
