,680,681,682,683
SIE-Scwrlmut,0.1584741800232193,0.09305167141992458,0.14960417156853312,0.1423467584665681
SIE-Rosmut,0.05792780860208943,0.10909422135939682,0.04026064944865841,0.0630742292231542
SIE-Rosiface-sc,0.07499914477258982,0.023717105924104247,0.020258604198256685,0.035546759288697466
SIE-RosCDR-loop,0.04370158320213172,0.045445779810801445,0.044250492031480626,0.05032382560473754
Rosmut,0.12588799686497204,0.288642617968362,0.2651404567406428,0.12435734492993537
Rosiface-sc,0.06667719000092956,0.05124819818388517,0.040113675101218854,0.05712266183860335
RosCDR-loop,0.02638129585090905,0.04439313593580366,0.03839115449056351,0.03497118194664562
FoldXS,0.04843391814491768,0.03431898273006622,0.06042495581987943,0.06822663097920038
FoldXB,0.03075077903155903,0.07079092869332146,0.036432420912300416,0.03503793160009932
DS-B,0.15856092799966456,0.07262840569251412,0.14623084651406762,0.08810798942962052
DS-S,0.10206430980549597,0.030495596827386146,0.04152302625424287,0.07971882534173613
mCSM-AB,0.10614086570152186,0.13617335545443407,0.11736954692015551,0.22116586135100197
