SIE-Scwrlmut,SIE-Rosmut,SIE-Rosiface-sc,SIE-RosCDR-loop,Rosmut,Rosiface-sc,RosCDR-loop,FoldXB,FoldXS,DS_BIND,DS_STABLE,mCSM,Cons3,Cons4,SVR,GPR,RFR,SVR_4,GPR_4,RFR_4
0.59203,0.590014,0.497657,0.556595,0.617327,0.080501,0.209176,0.227278,0.496835,0.552656,0.386606,0.542467,0.6533784547246013,0.6570747331151374,0.6795201466204859,0.7079580844007872,0.6858400259379479,0.6681272370706586,0.7035080881331102,0.643226704565587
0.557943,0.558238,0.474444,0.534242,0.578801,0.107064,0.160132,0.240743,0.480508,0.516131,0.388509,0.536408,0.6316014449088583,0.6347193477402423,0.6548013534048552,0.6722118468933864,0.6981047597163391,0.6480034864993812,0.6612648890807656,0.6351526210934442
0.572537,0.574713,0.511049,0.54512,0.618045,0.092165,0.190238,0.238134,0.50968,0.550766,0.398798,0.540043,0.6547140850967212,0.6613781483739539,0.6812143174444281,0.700780459060018,0.6746821392798527,0.6619699944188928,0.6889892591801272,0.6374244098375048
0.574776,0.5694,0.503344,0.555649,0.592327,0.077135,0.209627,0.239393,0.505028,0.503442,0.385062,0.558987,0.6436363217169293,0.6525763291438043,0.6648296557604845,0.6784883323300561,0.6580423951356831,0.6533967389519686,0.6494976859368418,0.6267275939843455
0.554751,0.561645,0.471864,0.529982,0.59432,0.104559,0.167812,0.231256,0.518728,0.516677,0.360976,0.524505,0.6289780441066513,0.6424826973247937,0.6238028430158695,0.6824760175470901,0.6993081906099923,0.6488347223927032,0.6837751422443721,0.6343781384101339
0.58543,0.583204,0.510221,0.566008,0.608528,0.071716,0.172067,0.235075,0.511203,0.520736,0.392155,0.538703,0.6521020753516575,0.6590160684805888,0.6692115902067056,0.7053522168910025,0.6890786355661301,0.672231759216382,0.6970398833411493,0.6672970773904864
0.594797,0.58327,0.506285,0.55023,0.602393,0.054579,0.258275,0.238831,0.499061,0.53303,0.399887,0.542941,0.6499392299117421,0.6554996766366187,0.6446151020602577,0.6969794400766186,0.6795664695301343,0.6656696603582236,0.6629376475872424,0.6045080231714877
0.586903,0.574244,0.489418,0.544965,0.606315,0.028622,0.153632,0.243208,0.529987,0.510484,0.397498,0.523991,0.6496466699904893,0.6610780494180573,0.6222514949354628,0.6914524607142286,0.6990272676995761,0.6618300020538685,0.6754797132833136,0.6512582083118679
0.579036,0.585408,0.489428,0.546733,0.617163,0.139492,0.187221,0.239911,0.515786,0.531401,0.406117,0.554877,0.6555511461891186,0.6620408581674528,0.5674458077267901,0.6996986816616058,0.6913229695526659,0.6765006229022672,0.6597294605855049,0.6426478435755051
0.576248,0.575682,0.478671,0.548433,0.589779,0.072672,0.201192,0.229686,0.523936,0.530444,0.393654,0.544124,0.6411573280088385,0.6523327665151786,0.660109510137411,0.6819949679603667,0.704041119151831,0.6628637551868333,0.6704648781499851,0.6565497626464423
0.564674,0.564787,0.494301,0.545599,0.587657,0.090985,0.269353,0.215443,0.502656,0.519854,0.380791,0.541657,0.6243256006472118,0.6345015309144448,0.6072566673948916,0.6969477717689108,0.6643869280914259,0.6629955879164204,0.6411246194299227,0.6189500241986188
0.616276,0.608377,0.489966,0.554856,0.62525,0.126327,0.267517,0.239373,0.518825,0.526623,0.397136,0.534153,0.6676294405904044,0.6695863973800131,0.5093830290220551,0.6992121776650506,0.700195772791524,0.6895322675033884,0.7069263946107982,0.655604755368119
0.561141,0.566805,0.500198,0.525746,0.596007,0.086363,0.224071,0.232901,0.499664,0.540502,0.406082,0.546564,0.6324492243585674,0.6430693474208441,0.6175906344479005,0.6866983202409591,0.6861180637371951,0.6582094255719275,0.6700982938447473,0.6543931434800432
